;;;;;
Loopbaan;Nummer studiedeel;Omschrijving;Toetsdatum;Offic. Cijfer;
Bachelor;DMCI-ICT 2014BPM1PD;PBPM product;29-01-16;6,8;
Bachelor;DMCI-ICT 2014BPM2TS;PBPM theorie/practicum toets;29-01-16;5,4;
Bachelor;DMCI-ICT 2014BPM4TM;PBPM methoden en technieken;29-01-16;6,8;
Bachelor;DMCI-ICT 2014BPM5TM;PBPM individueel fluency;29-01-16;vold.;
Bachelor;DMCI-ICT 2014CM__PE;Change Management practical;29-01-16;7;
Bachelor;DMCI-ICT 1014USIATP;User Interaction practicum;27-01-16;vold.;
Bachelor;DMCI-ICT 2014BPM3TM;PBPM process;27-01-16;8;
Bachelor;DMCI-ICT 2014TESTOP;Testing practical;18-01-16;onvold.;
Bachelor;DMCI-ICT 5014PS04OP;PSP Intercultural Skills op;18-01-16;geen res.;
Bachelor;DMCI-ICT 2014BI__OP;Business Intelligence pract.;06-11-15;geen res.;
Bachelor;DMCI-ICT 2014BI__TS;Business Intelligence theory;06-11-15;2,7;
Bachelor;DMCI-ICT 2014FM__PA;Financial Management paper;06-11-15;geen res.;
Bachelor;DMCI-ICT 2014FM__TS;Financial Management theory;06-11-15;3,8;
Bachelor;DMCI-ICT 2014JO__PS;Job Orientation presentie;06-11-15;vold.;
Bachelor;DMCI-ICT 1014PAD4TM;PAD: Methoden en technieken tm;03-07-15;6;
Bachelor;DMCI-ICT 1013ITSMTS;IT Service Management tentamen;01-07-15;4,9;
Bachelor;DMCI-ICT 1014PAD1PD;PAD: Product;26-06-15;7;
Bachelor;DMCI-ICT 1014PAD2TM;PAD: Proces mondeling;26-06-15;6;
Bachelor;DMCI-ICT 1014PAD4TM;PAD: Methoden en technieken tm;26-06-15;6;
Bachelor;DMCI-ICT 1014ESKNTD;Essential Skills Nederlands td;24-06-15;7;
Bachelor;DMCI-ICT 1014CSK_TM;Communication Skills mondeling;18-06-15;7,4;
Bachelor;DMCI-ICT 1014ESKETD;Essential Skills English toets;18-06-15;6;
Bachelor;DMCI-ICT 1014USIATD;User Interaction tentamen;17-06-15;7;
Bachelor;DMCI-ICT 1013ITSMTS;IT Service Management tentamen;15-06-15;4,1;
Bachelor;DMCI-ICT 1014PAD5TD;PAD: Methoden & technieken UML;29-05-15;6,9;
Bachelor;DMCI-ICT 1013BIS_TM;Business Info. Syst. procesm.;10-04-15;8;
Bachelor;DMCI-ICT 1013BIS_TS;Business Info. Syst. tentamen;10-04-15;8;
Bachelor;DMCI-ICT 1014INF_TD;Infrastructure tentamen;10-04-15;6;
Bachelor;DMCI-ICT 1014PAD3TD;PAD: Proces SCRUM;10-04-15;9,5;
Bachelor;DMCI-ICT 1014PRO_OP;Programming opdrachten;02-04-15;vold.;
Bachelor;DMCI-ICT 1014INF_TD;Infrastructure tentamen;27-03-15;6;
Bachelor;DMCI-ICT 1014SIM_PR;Domeinproject pr;07-02-15;5,6;
Bachelor;DMCI-ICT 1014PFYSPD;PFYS: Product;30-01-15;7,6;
Bachelor;DMCI-ICT 1014PFYST1;PFYS: Proces;30-01-15;7;
Bachelor;DMCI-ICT 1014PFYST2;PFYS: Methoden en technieken;30-01-15;7,5;
Bachelor;DMCI-ICT 1014PRO_TP;Programming practicum;30-01-15;6;
Bachelor;DMCI-ICT 1013M&O_TS;Management & Organization ts;28-01-15;5,5;
Bachelor;DMCI-ICT 1014ESKWTD;Essential Skills Wiskunde td;19-01-15;9,3;
Bachelor;DMCI-ICT 1014PSK_TM;Project Skills mondeling;19-01-15;7;
Bachelor;DMCI-ICT 1014BUS_TS;Business tentamen;19-12-14;6,5;
Bachelor;DMCI-ICT 1014BUS_TS;Business tentamen;07-11-14;geen res.;
Bachelor;DMCI-ICT 1014DB__OP;Databases opdrachten;07-11-14;vold.;
Bachelor;DMCI-ICT 1014DB__TS;Databases tentamen;07-11-14;7,7;
Bachelor;DMCI-ICT 1014LSK_OP;Learning Skills op;04-11-14;6,9;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;